pid,total_sent,unique_addresses_sent,unique_subjects_sent,total_received,unique_addresses_received,unique_subjects_received,total_emails,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,sent_bcc,sent_bcc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,rec_bcc,rec_bcc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,response_time_to,response_time_from,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status,GradStudent,Research,Director,PM,Outreach,Operations
adamq,0.0034934702586105837,0.017518549051937345,0.007434187076735068,0.0309242963240342,0.10230414746543778,0.046253752373950865,0.011107185633902335,0.1744186046511628,0.07142857142857142,0.85,0.20967741935483872,0.005242311276794035,0.903,0.0008580135506967662,0.1898238747553816,0.0,0.0,0.045707434052757796,0.916188045096788,0.0033579583613163196,0.08381195490321207,0.0,0.0,0.20782735918068765,0.47929999999999995,0.2176798584721804,0.23070527168967447,0.03491737584880091,0.014463096051825467,0.001962298812182953,0.3700063816209317,0.03519403332944878,0.669743358847366,0.0007836990595611285,0.044515494343334974,0.0024242424242424242,0.04993652137113838,0.012930043774878025,0.11685087771144867,0.041757239857002325,0.32238112058800705,0.153550071018508,0.0032083481867971613,0.011837655016910935,0.3473684210526316,0.10526315789473686,0.0030103211009174314,0.7374868743437172,0.00416,0.17997517583781547,0.009899541597581196,0.1297405189620759,0.0018609604799893586,0.0,1.0,0.5194174757281551,1.0,0.9344166471826045,0.5357142857142857,0.2456896551724139,0.12499999999999997,0.375,0.16084965340290103,0.0061535256015184695,0.03757529052415217,0.24716408557937344,0.06226139298369563,0.0,0.001860960479989357,0.7471227621483375,0.8949234986566893,1.0,0.041082506336767445,0.010552938522568054,0.0024084657346713154,0.0024084657275198016,0.002962944884497786,0.0029629448769227466,1.0,1.0,0.6249999999999999,0.0,0.03571428571428571,0.021739130434782608,GradStudent,1,0,0,0,0,0
ajm,0.008381984009753582,0.029472382522671065,0.014613778705636743,0.043499968794857395,0.0847926267281106,0.04355816945414446,0.018173044609697462,0.5465116279069767,0.6571428571428571,0.74,0.7580645161290323,0.010504038521279901,0.7556,0.005177667978342555,0.4782778864970646,0.0,0.0,0.04541966426858513,0.3265262710061689,0.03769308260577569,0.6734737289938311,0.0,0.0,0.34817117776152157,0.738325,0.37063923150750916,0.07042461582128143,0.15167033797130988,0.0022599007185844363,0.00041751038557084105,0.004339502233567326,0.013052091830788952,0.17784781629896443,0.0011755485893416929,0.0076242006886374876,0.018585858585858588,0.2746508675412611,0.06360808424835714,0.3353799939504143,0.1393219606996329,0.28387498041061354,0.34673070861889255,0.009398191658294714,0.0392083176750595,0.43157894736842106,0.7631578947368421,0.007071865443425076,0.7234861743087154,0.00784,0.14149772445179976,0.03559933677947918,0.6518629407850965,0.04098472166897832,0.01768659988683262,0.7077798861480077,0.39158576051779953,0.9333333333333332,0.6717553191489362,0.6666666666666666,0.5811170212765957,0.5312499999999999,0.71875,0.5648733792702083,0.06284148322894656,0.41828426674513225,0.7087054282832271,0.5361161239391,0.017686599886832608,0.0409847216689783,0.7578667242061352,0.2986054741982612,1.0,0.0812243175252608,0.05395298553357332,0.033207822239619066,0.03320782216676593,0.0331390657532166,0.03313906567725931,0.8035714285714287,1.0,0.2812499999999999,0.0,0.14285714285714285,0.32608695652173914,Director,0,0,1,0,0,0
apoetter,0.241752831117676,0.10305028854080792,0.1977697438769795,0.6337140360731448,0.4009216589861751,0.5272315138148624,0.35268976570645666,0.45348837209302323,0.32857142857142857,0.88,0.7580645161290323,0.2479224914569742,0.6192,0.23237373886801385,0.7452054794520548,0.0,0.0,0.7286810551558753,0.46458200382897247,0.4295668233713902,0.5354179961710274,0.0,0.0,0.5959765910753475,0.21389999999999998,0.6368106356324209,0.10249391214401256,0.11565157945187962,0.00797725011802971,0.03438198025175876,0.07070835992342053,0.383288660995222,0.3642503376857272,0.08137408568443051,0.0944417117560256,0.2783838383838384,0.286923402454507,0.24595683107493968,0.6455672877342912,0.3589510304949735,0.23813913696548514,0.1687876476401873,0.3939138607123181,0.49542778404108734,0.6210526315789474,0.6052631578947368,0.1653446738022426,0.5873293664683233,0.26928,0.16880430285477865,0.5132644104164634,0.6533599467731205,1.0,0.9332923890842814,0.5650364203954215,0.06796116504854317,0.5320197044334976,0.10704787234042558,0.967741935483871,0.9439102564102566,0.9687499999999997,0.9687500000000001,0.9654026782398505,0.7159011123505276,0.942384059754444,0.9888508568410205,0.9691582043845576,0.9332923890842814,1.0,0.5146028959204608,0.020669521259179282,1.0,0.4861706334766554,0.46691920608542337,0.2947328953473454,0.29473289498754945,0.293597040178555,0.2935970398054574,0.5535714285714286,1.0,0.031249999999999927,0.0,0.8214285714285714,0.9782608695652174,PM,0,0,0,1,0,0
arog3632,0.040151461864903516,0.0690436933223413,0.05962625388258058,0.1531548399176184,0.3313364055299539,0.17815352569993262,0.07180463761622045,0.22093023255813954,0.11428571428571428,0.74,0.3064516129032258,0.05531609195402299,0.8316,0.017071510991449452,0.32954990215264185,0.0,0.0,0.2132853717026379,0.8002552648372687,0.0388683680322364,0.1997447351627313,0.0,0.0,0.37713972201901974,0.059699999999999975,0.24272002934708997,0.15457210568624058,0.038876752562605206,0.02881525886201493,0.011523286641755214,0.17434588385449903,0.13425008740240066,0.5258892390814949,0.00672675026123302,0.019921298573536646,0.018787878787878787,0.0799830723656369,0.042651775546663606,0.16346397888903183,0.07646632596751361,0.22951419272952128,0.2098830921944449,0.03898629160320187,0.06852060628836278,0.3684210526315789,0.15789473684210525,0.03340022935779816,0.7141523742853809,0.02,0.07550682664460075,0.0858285379888813,0.38672654690618763,0.004336195114517116,0.004675808502026648,0.7360703812316715,0.5395284327323163,0.9444444444444444,0.9301978350130642,0.5882352941176471,0.38089622641509424,0.3437499999999998,0.53125,0.47958936821554926,0.10697830943985497,0.17318751052723388,0.452611899145779,0.2526203027284827,0.004675808502026645,0.004336195114517112,0.9016834377571039,0.6068181119677012,1.0,0.07688110481984094,0.04710484203462088,0.01803700283987503,0.018037002819442406,0.019368467525103877,0.019368467500671723,0.9107142857142859,1.0,0.46874999999999994,0.0,0.07142857142857142,0.043478260869565216,GradStudent,1,0,0,0,0,0
bdeird7,0.0600220393425711,0.1442704039571311,0.10423137634299098,0.15533919990014355,0.315668202764977,0.20572198737977088,0.08701346821655996,0.16279069767441862,0.12857142857142856,0.77,0.0,0.08946877912395154,0.8998,0.015177963845084174,0.19608610567514675,0.0,0.0,0.22676258992805756,0.8927887683471601,0.021155137676292814,0.10721123165283981,0.0,0.0,0.32613386978785663,0.06842500000000001,0.45158418523352817,0.3008479644426918,0.689235716277875,0.025858467738946563,0.08638289877460702,1.0,0.2589441790001165,1.0,0.020963949843260186,0.10009837678307922,0.04565656565656566,0.19128226830300463,0.07099444194866115,0.18461666834710713,0.10313395235010436,0.30775955448853554,0.11090037318470752,0.03833814045435396,0.06908430414631091,0.24210526315789477,0.15789473684210525,0.04418323139653415,0.6320149340800373,0.04112,0.10384774513860158,0.048376085048278554,0.1229208250166334,0.1261973496854294,0.04482931401318048,0.684331797235023,0.2728490123870098,0.8484848484848485,0.4814057101291143,0.625,0.6597222222222223,0.43749999999999994,0.78125,0.5551558541614877,0.1770900599656573,0.24850674624802374,0.7662803949565767,0.3558913987368546,0.04482931401318051,0.12619734968542937,0.8315536393063894,0.4197512474476581,1.0,0.0985444947598408,0.07019644229082564,0.017156336339623747,0.01715633631151287,0.014679611473147232,0.014679611453066609,0.8571428571428572,1.0,0.21875,0.0,0.17857142857142858,0.4782608695652174,GradStudent,1,0,0,0,0,0
brosiekn,0.0,0.0,0.0,0.0,0.0018433179723502304,0.0001837897445322551,0.0,0.0,1.0,0.0,0.9516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228036587960007,0.000167897918065816,0.17719634120399913,0.0,0.0,0.0,1.0,0.0,0.20285432865218608,0.0,0.004049308783126488,0.0,0.0,0.0001165365342034728,0.09387663214768123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07196969696969698,0.0,0.0625,0.0,0.0,0.0,0.02847136650999264,0.0,0.0,0.0,0.0,0.8337564719911776,0.0,0.0,0.00011679312820218245,0.0,0.0,0.0,0.0,0.0,0.0,0.8749999999999998,0.0,0.0,0.0,GradStudent,1,0,0,0,0,0
ccallsen,0.26492930998100866,0.30420445177246497,0.24334232903915679,0.5335767334456718,0.47788018433179724,0.3474238804141396,0.342073743440384,0.4186046511627907,0.42857142857142855,0.77,0.6290322580645161,0.2709304131717925,0.6174,0.25580638480428414,0.7487279843444227,0.0,0.0,0.5461390887290168,0.2901510316953839,0.47968435191403624,0.709848968304616,0.0,0.0,0.4598756400877835,0.1708,0.4548639396005152,0.05111004831719297,0.1028013233397196,0.009209840596262467,0.04116652401728493,0.08015315890236119,0.18296235869945227,0.20643854119765873,0.08157001044932079,0.08189867191342845,0.18464646464646464,0.22598391874735507,0.2661321917736661,0.5368138153068426,0.3437587274166847,0.14817888151487918,0.2315364441060039,0.24551965518358881,0.4090567455843668,0.3578947368421053,0.5789473684210527,0.27027586646279306,0.8759771321899429,0.31216,0.17852709971038477,0.6062128157612406,1.0,0.06737416972146934,0.04930877904131252,0.6854838709677419,0.3656957928802587,0.8758169934640523,0.6220212765957446,0.7142857142857143,0.5811170212765957,0.6249999999999999,0.71875,0.9415600503811955,0.34251967887209134,0.5562090548669623,0.6964519998861043,0.6680738135108639,0.04930877904131249,0.06737416972146934,0.7026116889919928,0.4521143104478352,1.0,0.3985050821438843,0.3757582539464741,0.43130622518784384,0.4313062236853002,0.43078822681128576,0.43078822524058785,0.7500000000000001,1.0,0.2812499999999999,0.0,0.32142857142857145,0.2391304347826087,Outreach,0,0,0,0,1,0
cdusold,7.033832735457551e-05,0.0006183017312448475,0.00015275726870003564,0.0,0.0,0.0,5.1701407139964326e-05,1.0,1.0,1.0,0.9516129032258065,0.00013591177384280833,1.0,0.0,0.0,0.0,0.0,9.592326139088728e-05,1.0,0.0,0.0,0.0,0.0,0.182882223847842,0.125,0.4378984749055136,0.18188871430303316,0.03362708824231695,0.002032348324235746,6.262655783562615e-05,0.5157626037013401,0.0,0.0,0.00019592476489028212,1.0,0.0,0.0,0.00018021876991548,0.0016410370519742857,0.0005854267136927469,0.00039053601067465097,1.0,0.0,0.0,0.0,0.7894736842105264,9.556574923547401e-05,1.0,0.0,0.0,0.00024383107383204916,0.34647371922821024,0.0009964507966927147,0.0,0.0,0.7378640776699028,0.0,0.5026595744680852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009964507966927156,0.0,0.01452829919026878,0.0,0.0,0.0005474900324634748,0.0,0.0,0.00010209874888281806,0.00010209874887838263,0.0,0.0,1.0,1.0,0.0,0.021739130434782608,GradStudent,1,0,0,0,0,0
cheadley,0.025544535884270005,0.03792250618301731,0.037731045368908804,0.07230231542158147,0.08894009216589861,0.07731421919990197,0.03874158775021327,0.5813953488372093,0.9,0.92,0.8709677419354839,0.03217225846536191,0.7601,0.015473830586703749,0.4694716242661448,0.0,0.0,0.0841726618705036,0.4875558391831525,0.047347212894560106,0.5124441608168475,0.0,0.0,0.37313460131675197,0.32067500000000004,0.2264094656132392,0.07013683191498196,0.04042804136926185,0.0026853641689520034,0.008767718096987663,0.2146777281429483,0.05080992891271414,0.4191805493021162,0.01991901776384535,0.28996556812592233,0.07292929292929293,0.6525603046974185,0.02604683598524818,0.07446553300674842,0.03969672976798868,0.2833348555892963,0.6474311595729169,0.01380561947046051,0.05229863459852186,0.2105263157894737,0.5263157894736842,0.02551605504587156,0.8574262046435656,0.01088,0.06454282167976831,0.051155759289963916,0.5395874916833001,0.15405406869556126,0.14963413738291187,0.6967741935483871,0.25211399937362994,0.7684210526315789,0.4267110365789749,0.75,0.7456395348837209,0.6249999999999999,0.8437499999999998,0.71278809914277,0.16611349216336793,0.5605334735334105,0.8684559281503704,0.7048668360212934,0.1496341373829119,0.1540540686955613,0.5821467313375145,0.28708194742399445,1.0,0.1331679583347587,0.11205792240477778,0.03490413483503362,0.03490413478296123,0.03401330070009839,0.03401330064651465,0.7142857142857144,1.0,0.1562499999999999,0.0,0.5,0.8260869565217391,Research,0,1,0,0,0,0
cthomp,0.05598930857424211,0.057914262159934046,0.04389225520647691,0.28780503026898835,0.10875576036866359,0.2970042271641242,0.12062799975872676,0.6511627906976745,0.5428571428571428,0.99,1.0,0.07354768561665113,0.793,0.02926122074617592,0.4050880626223092,0.0,0.0,0.25611510791366904,0.10636034886194413,0.3261417058428476,0.8936396511380557,0.0,0.0,0.9978785662033651,0.20382499999999998,0.4226949030865165,0.0395926465249809,0.09363513385108964,0.0009114463265866771,0.010124626850092897,0.09827696234843651,0.17142524181330848,0.35817199459702836,0.02893155694879833,0.17388096409247422,0.22101010101010102,0.5006347862886161,0.056151206159825315,0.28937532812049105,0.12114398138151106,0.3653381035471184,0.35729824857017867,0.06941698804161131,0.22322435174746336,0.4736842105263158,0.6052631578947368,0.0277618501529052,0.4257379535643449,0.13056,0.3533305750930906,0.23744269969764947,0.6684963406520293,0.1138021530555952,0.12312920218680075,0.6730205278592375,0.2447271509876126,0.8052631578947368,0.4303964357155847,0.75,0.6597222222222223,0.6874999999999998,0.78125,0.9186516926013962,0.29992691709371827,0.6453885805539066,0.752479288901772,0.7463764472282411,0.12312920218680075,0.11380215305559516,0.6165340532348205,0.3087675709479494,1.0,0.3091427582364475,0.2719697405466657,0.32919803964849675,0.3291980384869921,0.3280475201258995,0.3280475189138268,0.7142857142857144,1.0,0.21875,0.0,0.39285714285714285,0.43478260869565216,Director,0,0,1,0,0,0
deannac,0.08750087922909193,0.09150865622423743,0.09455674932532206,0.2678649441427947,0.27419354838709675,0.2608589107394474,0.13828403029702457,0.5697674418604651,0.4,0.95,0.8064516129032258,0.12466992854923889,0.8601,0.030888487825083584,0.27377690802348337,0.0,0.0,0.2901199040767386,0.37311210380770055,0.21297850906648758,0.6268878961922996,0.0,0.0,0.6454096561814192,0.1164,0.5437304716424585,0.08956880943733728,0.18978507850976944,0.006500885445812564,0.003820220027973196,0.0,0.1354154527444354,0.3039171544349393,0.010710553814002089,0.0,0.10181818181818182,0.24798984341938213,0.1253055883489871,0.3846806409779468,0.19827155162072027,0.24260790234596985,0.27072877086674985,0.12191723109829213,0.2737692596768132,0.5263157894736842,0.9210526315789473,0.04674757900101937,0.45875627114689066,0.04544,0.07860984691766652,0.209304593777431,0.6220891550232868,0.49918382958224183,1.0,0.5625,0.13649343232438535,0.5287356321839081,0.21789207275223058,1.0,0.8906249999999999,1.0,0.9375,0.9081731778437072,0.4643777969657628,1.0,0.9755565119710485,1.0,1.0,0.4991838295822416,0.4969054423558298,0.023783829669047924,0.5,0.302221343142553,0.267337952374762,0.1478523076428727,0.14785230743090827,0.14715270394864835,0.14715270372863173,0.5357142857142858,0.5,0.06250000000000011,0.0,1.0,0.9565217391304348,Operations,0,0,0,0,0,1
fnguyen,0.011723054559095917,0.036273701566364384,0.018738224960537706,0.047587842476440115,0.1391705069124424,0.06230472339643448,0.021757675504734987,0.27906976744186046,0.4,0.91,0.5161290322580645,0.016425908667287978,0.8452,0.004585934495103405,0.3029354207436399,0.0,0.0,0.06426858513189448,0.7432461178472665,0.015698455339153795,0.2567538821527335,0.0,0.0,0.2980248719824433,0.022699999999999998,0.4993221227665562,0.1671819235826949,0.08955799998169786,0.010412838437861092,0.015781892574577794,0.9326100829610721,0.060016315114788485,0.7485366951823503,0.007118599791013584,0.2137235612395475,0.033535353535353536,0.4536606009310199,0.013660060386347253,0.05627505449842329,0.02557259051320809,0.37333904834385195,0.3947602609592629,0.009819489905045857,0.023174245271201304,0.3157894736842105,0.23684210526315788,0.006020642201834863,0.44055536110138843,0.00704,0.09102192800992966,0.02326148444357749,0.3075515635395875,0.0019974309151885783,0.0,0.8978494623655913,0.4932038834951452,1.0,0.9609929078014185,0.5555555555555556,0.3518518518518518,0.18749999999999997,0.5000000000000001,0.32851442281678306,0.037508774630273856,0.07097380443413782,0.39811019124458114,0.11619790324086604,0.0,0.0019974309151885774,0.8828459435762543,0.7782359348474341,1.0,0.05701287322427814,0.027749317770657186,0.006487372979375414,0.006487372970938238,0.006265950964660836,0.006265950957155624,0.9642857142857143,1.0,0.4999999999999999,0.0,0.03571428571428571,0.06521739130434782,GradStudent,1,0,0,0,0,0
gmoy,5.861527279547959e-05,0.001030502885408079,0.00015275726870003564,0.0015290519877675841,0.00783410138248848,0.0015928444526128775,0.00046531266425967895,0.5813953488372093,0.4142857142857143,1.0,1.0,9.70798384591488e-05,0.8333,2.9586674161957454e-05,0.3262230919765166,0.0,0.0,0.0010071942446043165,0.12571793235481799,0.0025184687709872396,0.8742820676451818,0.0,0.0,0.182882223847842,0.097225,0.28443326484140935,0.0436161253420366,0.002132858203413118,0.0006961485512997643,8.350207711416822e-05,0.8196553924696872,0.001631511478848619,0.43178748311571363,6.530825496342738e-05,0.35587801278898185,0.0014141414141414141,0.4058400338552687,0.0005524097077844061,0.017874092127541957,0.005338899685693035,1.0,0.48784044328510556,0.0,0.0006263309532757109,0.0,0.3421052631578947,4.7782874617737003e-05,0.5833625014584063,0.0,0.0,0.0007802594362625573,0.22504990019960078,0.002097791150932031,0.0,0.0,0.7669902912621358,0.0,0.8342198581560283,0.0,0.13194444444444445,0.0,0.15625000000000003,0.0,0.0,0.0,0.07740081591371346,0.0,0.0,0.0020977911509320302,0.0,0.32999865633845676,0.0,0.0,0.0,0.0,0.0,0.0003279463312270342,0.0003279463316597032,0.0,0.0,0.7812499999999998,0.0,0.0,0.021739130434782608,PM,0,0,1,0,0,0
jmernst,0.10149820637265246,0.07110469909315746,0.13447731554559805,0.28849154340635336,0.21705069124423962,0.2758684065429149,0.15426838200446355,0.6162790697674418,0.6142857142857143,0.95,0.8709677419354839,0.13901832867350108,0.8269,0.04435042456877422,0.338747553816047,0.0,0.0,0.33616306954436453,0.48649223569453315,0.1878777703156481,0.513507764305467,0.0,0.0,0.45373079736649596,0.10615000000000002,0.3148995138166173,0.07907249886182742,0.07338663241637483,0.005539899778750176,0.02816107550675323,0.16758136566687937,0.26663559025754574,0.5556055830706889,0.07569226750261233,0.2749631087063453,0.3593939393939394,0.8121032585696148,0.13461950332751757,0.3836445625002173,0.20483120996185128,0.2690514090589334,0.4387200207384845,0.044981689730045044,0.2066892145809846,0.16842105263157897,0.5263157894736842,0.08683741080530072,0.7345700618364253,0.06864,0.10239966901117088,0.2504632790402809,0.7142381902860946,0.49416836057222163,0.9112346167038872,0.5739710789766406,0.12278697886921774,0.5369458128078818,0.19382721345229922,0.967741935483871,0.8906249999999999,0.9062499999999999,0.9375,0.9369981181698731,0.590991118700551,0.8596041538359394,0.9653940978803104,0.9478395167908512,0.9112346167038874,0.49416836057222147,0.5057689086435132,0.03790902595739005,1.0,0.37978341909649826,0.3704569783403294,0.16151486638707974,0.16151486612236238,0.16087354971946366,0.16087354944433693,0.5535714285714286,1.0,0.06250000000000011,0.0,0.9285714285714286,0.9565217391304348,Research,0,1,0,0,0,0
jrmurphy,0.021230451806522707,0.023495465787304205,0.018381791333570957,0.1072520751419834,0.06497695852534562,0.12791766219444956,0.0452214974450888,0.6976744186046512,0.5,0.98,1.0,0.030444237340789066,0.8653,0.007219148495517619,0.26360078277886495,0.0,0.0,0.11304556354916068,0.3350350989151244,0.09083277367360645,0.6649649010848755,0.0,0.0,0.9474396488661302,0.08662500000000001,0.279760473127416,0.04441445514576246,0.12082673946530896,0.0018330780552751962,0.0023589336784752522,0.04837268666241224,0.041953152313250204,0.23412877082395317,0.006792058516196447,0.08706345302508608,0.045454545454545456,0.27507405840033855,0.021337641171369767,0.10850314474155405,0.045631613042539404,0.4241818325651957,0.5423863158406377,0.05590303658813235,0.0755981460603783,1.0,0.49999999999999994,0.0063232670744138636,0.2556294481390736,0.14016,1.0,0.06832146688774017,0.4668995342648038,0.09465367673121641,0.043046366831852145,0.7514231499051234,0.2934544315690563,0.8823529411764706,0.48550990462215693,0.6976744186046512,0.7456395348837209,0.5312499999999999,0.8437499999999998,0.7183665061269481,0.09589926894428158,0.4665144787133148,0.8921281459083431,0.6099057348540989,0.043046366831852124,0.09465367673121633,0.6596181479361016,0.13314119466226257,1.0,0.12058736332996677,0.0936181988908808,0.060836279386035565,0.0608362792774051,0.060368890366518456,0.060368890254242455,0.767857142857143,1.0,0.1562499999999999,0.0,0.14285714285714285,0.7391304347826086,Operations,0,0,0,0,0,1
jsprick,0.03405547349417364,0.02926628194558945,0.025663221141605987,0.09139986269737253,0.09907834101382489,0.08209275255774061,0.050271001542425316,0.43023255813953487,0.38571428571428573,0.82,0.7096774193548387,0.02759009009009009,0.489,0.043936211130506816,1.0,0.0,0.0,0.09980815347721822,0.38778983195064887,0.07135661517797179,0.6122101680493511,0.0,0.0,0.4492136064374543,0.1023,0.3111154222059658,0.06171381847620278,0.03659621625929973,0.0026817040884047653,0.005156253261799887,0.07721761327377154,0.031231791166530708,0.20441242683475913,0.013126959247648904,0.11608460403344811,0.03272727272727273,0.2323317816335167,0.15682036628812018,0.4242532759897505,0.23235394323280306,0.2435329124222996,0.4020396375085735,0.026347344200667595,0.06751847676312163,0.2947368421052632,0.5526315789473684,0.03332059123343527,0.8399253295998134,0.02672,0.11894911046752173,0.0838291231834585,0.7619760479041916,0.0,0.0021709110902266575,0.7692307692307694,0.4971895758814507,0.9871794871794872,1.0,0.6382978723404256,0.3238636363636364,0.40624999999999994,0.46875000000000006,0.6539548894619314,0.0615217035455373,0.28922331982034444,0.3573905066355984,0.41140109747234144,0.0021709110902266575,0.0,0.9222632554125739,1.0,1.0,0.09579869329516333,0.06703389739170108,0.0630099339758675,0.0630099338182768,0.06299457584616497,0.06299457568164164,0.8392857142857144,1.0,0.5312499999999998,0.0,0.07142857142857142,0.0,PM,0,0,0,1,0,0
