pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,Status
hayajs,0.001638412,0.003672788,0.277119799,0.00251138,0.607476636,0.007378434,0.013071895,0.488262911,0.009389671,0.935044929,0.002879575,0.000103167,0.022793533,0.000747384,1,0.000247893,1,0.018170019,0.523583036,0.038461538,0.2143,0.021126761,0.8571,0,0,0,0,0,0,0,0,0,0,0,0,0.003863179,0.820224719,0.011100833,0.89010989,0.00195558,0.714285714,0.008998342,0.888888889,0.001657917,0.340031898,0.002030972,0.659968102,0.008773132,0.716573691,0.004530281,0.283426309,0.118457143,0.113993792,0.072327583,0.176907239,0.003737076,0.007761614,0.000893602,0.32008912,0.006928406,0.443770533,0.002429907,0.30012053,0.010789324,0.586257741,0.001757435,0.007976435,0.00311986,0.002278943,0.004935112,0.43,0.446428571,0.001809136,0.6897,0.000461894,0.034120214,0.003076063,0.309004739,0.006265664,0.243048404,0.203195119,0.903646117,0.333715195,0.646772601,GradStudent
het,0.013408232,0.022370618,0.141075359,0.015853084,0.459612817,0.066139212,0.071169208,0.255086072,0.068727178,0.537869063,0.027811277,0,0,0,0,0,0,0.149253731,0.594332144,0.179487179,0.1217,0.149647887,0.7391,0.08,0.138418079,0.08,1,0.105263158,1,0.272727273,0.139285714,0.272727273,1,0.3,1,0.028490946,0.853932584,0.093894542,0.802197802,0.017646785,0.892857143,0.083945063,0.920634921,0.01265543,0.311483254,0.014978421,0.688516746,0.062782728,0.397336692,0.068192656,0.602663308,0.175485714,0.122762545,0.796295545,0.077000982,0.978812689,0.002233549,0.003872275,0.196187647,0.037611349,0.257012889,0.010841121,0.189500469,0.049971607,0.324093188,0.01781554,0.088160597,0.03711971,0.015223336,0.080789618,0.41,0.785714286,0.012618725,0.6805,0.0147806,0.154731204,0.053411633,0.536650869,0.081453634,0.436148301,0.190142531,0.605113952,0.56499523,0.722250803,Research
jacouch,0.00621928,0.009015025,0.134681899,0.003688589,0.048564753,0.009956441,0.015250545,0.418466354,0.006259781,0,0.006965125,0.001547509,0.101908296,0.006726457,0.6,0.001239465,0.3333,0.024659312,0.557867618,0.038461538,0.1579,0.023767606,0.7105,0,0,0,0,0,0,0.090909091,0.264285714,0.090909091,1,0.1,1,0.009818913,0.584269663,0.010329941,0.637362637,0.006984216,0.660714286,0.009590339,0.634920635,0.003813208,0.002232855,0.010324109,0.997767145,0.006168609,0.153320137,0.015975203,0.846679863,0.294657143,0.038799793,0.351659703,0.008669566,0.236230051,0.001001855,0.004706303,0.501423443,0.01121742,0.564316401,0.009906542,0.364001607,0.013060761,0.5423179,0.008907118,0.014866909,0.010288532,0.004193254,0.004569549,0.24,0.25,0.006377205,0.7231,0.00369515,0.081333069,0.012863535,1,0.007518797,0.228630278,0.074061643,0,0.02704977,0.084861489,GradStudent
javier,0.001839034,0.005008347,0.312231422,0.003296186,0.776535381,0.013245622,0.013071895,0.239123631,0.015910276,0.826444159,0.004651621,0.001753843,0.351974556,0.003736921,0.2941,0.003222608,0.7647,0.022063595,0.391795482,0.025641026,0.1176,0.023767606,0.7941,0.04,0.440677966,0.04,1,0.052631579,1,0.090909091,0.207142857,0.090909091,1,0.1,1,0.004587525,0.898876404,0.021276596,0.934065934,0.002654002,1,0.017049491,0.952380952,0.002928986,0.825518341,0.000592367,0.174481659,0.017409184,0.822026273,0.005245589,0.177973727,0.040828571,0.095589757,0.290422426,0.18704151,0.095449509,0.005020437,0.000595735,0.193464538,0.003959089,0.09198888,0.001869159,0.209321012,0.005110733,0.180182837,0.001962121,0.014193821,0.00499024,0.000638104,0.010784135,0.11,0.5,0.00226142,0.7813,0,0,0.006152125,0.282306477,0.007518797,0.179711637,0.114392999,1,0.298624734,0.787184077,GradStudent
jdemma,0.003711506,0.007345576,0.205219579,0.004002511,0.366321762,0.014312383,0.019607843,0.366197183,0.013171622,0.395121951,0.00632522,0,0,0,0,0,0,0.014276444,0.237019421,0.038461538,0.2727,0.012323944,0.6364,0,0,0,0,0,0,0.090909091,0.192857143,0.090909091,1,0.1,1,0.007323944,0.741573034,0.021584952,0.879120879,0.004423337,0.732142857,0.017049491,0.857142857,0.004200055,0.468421053,0.003384954,0.531578947,0.014667581,0.52546338,0.012875536,0.47453662,0.099514286,0.084441283,0.513878637,0.084189445,0.326047808,0.001457969,0.000714881,0.123777695,0.002969317,0.036391205,0.002056075,0.122807018,0.004542873,0.150693011,0.004557858,0.01777437,0.007891297,0.001093892,0.005117894,0.1,0.142857143,0.004025328,0.7417,0.000461894,0.016464987,0.011605145,0.579936809,0.007518797,0.167868177,0.110327806,0.40260295,0.312393198,0.478111523,GradStudent
jgaedder,0.004814926,0.015358932,0.314956504,0.004865798,0.327269693,0.014312383,0.024691358,0.48513302,0.013693271,0.450834403,0.007137407,0,0,0,0,0,0,0.001297859,0.021601268,0.012820513,1,0.001760563,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009657948,0.764044944,0.020659883,0.835164835,0.006332356,0.875,0.017286289,0.873015873,0.003481625,0.103508772,0.007277651,0.896491228,0.012200137,0.349289185,0.017167382,0.650710815,0.2,0.083846353,0.402413471,0.053282441,0.135796299,0.001770188,0.000953175,0.129471469,0.01121742,0.379833207,0.002803738,0.131244141,0.017603634,0.519315836,0.007432594,0.022680276,0.011363353,0.0023701,0.010235789,0.17,0.410714286,0.005563094,0.8039,0.001385681,0.038881174,0.012444072,0.631437599,0.020050125,0.447991761,0.108775724,0.265926536,0.109206007,0.187391869,Research
jmahal,0.002641522,0.005342237,0.22586731,0.002668341,0.311915888,0.008534092,0.015976761,0.522691706,0.00991132,0.777920411,0.00393788,0,0,0,0,0,0,0.024659312,0.632778438,0.038461538,0.1579,0.028169014,0.8421,0,0,0,0,0,0,0,0,0,0,0,0,0.005794769,0.808988764,0.012796793,0.879120879,0.003538669,0.892857143,0.010182335,0.873015873,0.002044764,0.148165869,0.003977321,0.851834131,0.009458533,0.634515026,0.006437768,0.365484974,0.207285714,0.070926022,0.070814937,0.12190975,0.002230037,0.004212953,0.002144644,0.506374551,0.007588255,0.423805914,0.005233645,0.42614169,0.011925043,0.569153642,0.002857787,0.009305263,0.004296405,0.003281677,0.006945714,0.41,0.517857143,0.002442334,0.6136,0.000923788,0.045030748,0.005732662,0.496050553,0.003759398,0.129763131,0.120564004,0.656411245,0.09988913,0.75369186,GradStudent
jmernst,0.100745645,0.078130217,0.035426056,0.119682938,0.472463284,0.284469731,0.216412491,0.132081377,0.278821075,0.42593068,0.152543624,0.193335397,0.821759873,0.139013453,0.0993,0.234754586,0.5053,0.509409474,0.482758621,0.326923077,0.065,0.518485915,0.7503,1,0.234463277,1,1,1,0.76,0.818181818,0.1,0.818181818,1,0.9,1,0.204024145,0.820224719,0.381591119,0.758241758,0.133398519,0.910714286,0.347975373,0.873015873,0.138878143,0.733492823,0.042735043,0.266507177,0.331596984,0.635954652,0.186218407,0.364045348,0.085485714,0.049818934,0.258224761,0.090090896,0.061357847,0.006903874,0.027284642,0.187646986,0.2708677,0.517816528,0.071214953,0.168876389,0.350936968,0.542612799,0.133687602,0.378212779,0.202638302,0.048951686,0.208371413,0.18,0.357142857,0.085481682,0.6254,0.076674365,0.108906963,0.24314877,0.573933649,0.214285714,0.273429454,0.076999751,0.34806755,0.204925418,0.507393616,Research
jnl,0.003878691,0.009348915,0.245362121,0.005022759,0.51034713,0.025246689,0.035584604,0.379029734,0.025821596,0.529910141,0.009475524,0.003817188,0.3922608,0.014200299,0.5135,0.003966287,0.4324,0.03504218,0.348592945,0.057692308,0.1667,0.036091549,0.7593,0,0,0,0,0,0,0,0,0,0,0,0,0.00861167,0.842696629,0.037156953,0.846153846,0.005075197,0.875,0.030665404,0.873015873,0.004144791,0.41307815,0.003892697,0.58692185,0.021932831,0.334533021,0.029566047,0.665466979,0.102485714,0.09881014,0.098492541,0.072516105,0.038780843,0.001139156,0.000714881,0.118826587,0.019465523,0.382107657,0.002056075,0.117851882,0.026121522,0.445001474,0.00502981,0.032842511,0.012406505,0.000820419,0.025955036,0.07,0.625,0.004839439,0.856,0.000461894,0.015869867,0.022371365,0.628751975,0.028822055,0.385684861,0.173971856,0.533261358,0.331709193,0.469557883,Research
jodavis5,0.010231718,0.013021703,0.104915627,0.015617642,0.694092123,0.014756867,0.030501089,0.600625978,0.015258216,0.567907574,0.01124757,0.010729392,0.437582825,0.01793722,0.2308,0.019087754,0.7404,0.004542505,0.073325406,0.019230769,0.4286,0.006161972,1,0,0,0,0,0,0,0,0,0,0,0,0,0.016579477,0.617977528,0.020197348,0.791208791,0.013875308,0.946428571,0.017286289,0.825396825,0.012987013,0.615151515,0.006431412,0.384848485,0.015078821,0.520784596,0.013352408,0.479215404,0.074285714,0.087364201,0.35696212,0.070787919,0.161151022,0.00354983,0.002799952,0.184676321,0.008248103,0.245893354,0.006915888,0.157359046,0.009653606,0.286346211,0.012847005,0.018891557,0.014301837,0.01586144,0.01133248,0.55,0.446428571,0.006919946,0.4857,0.001385681,0.018845467,0.014821029,0.7492891,0.011278195,0.245108136,0.144953171,0.290941838,0.19145896,0.208324653,GradStudent
jonblack,0.002374026,0.007011686,0.318729693,0.001883535,0.171562083,0.007645124,0.01815541,0.671674491,0.005738132,0.214377407,0.003494868,0,0,0,0,0,0,0.03569111,1,0.051282051,0.1455,0.032570423,0.6727,0,0,0,0,0,0,0,0,0,0,0,0,0.001448692,0.146067416,0.010792476,0.835164835,0.003398985,1,0.009235141,0.888888889,0.004200055,1,0,0,0.003152844,0,0.015021459,1,0.560857143,0.095667356,0.827561927,0.111765695,0.001012235,0.005265782,0.000595735,0.154722119,0.002309469,0.103361132,0.000186916,0.016740324,0.002839296,0.190799174,0.00712752,0.024876485,0.011747217,0.007292616,0.008042405,1,0.696428571,0,0,0,0,0.007270694,0.727330174,0.013784461,0.519567456,0.927815125,0.271216533,0.047731804,0.283935869,Director
jpokorsk,0.097268198,0.075792988,0.03595011,0.116386752,0.478471295,0.409636412,0.197530864,0.025352113,0.367110068,0.278562259,0.184637346,0.013514908,0.059501723,0.032884903,0.3359,0.017352504,0.5344,0.469824789,0.309750297,0.269230769,0.058,0.468309859,0.7348,0.28,0.06779661,0.28,1,0.315789474,0.8571,0.545454545,0.046428571,0.545454545,1,0.6,1,0.174406439,0.707865169,0.508171446,0.692307692,0.123155003,0.839285714,0.494553635,0.857142857,0.084830064,0.246251994,0.116696285,0.753748006,0.325976696,0.205686522,0.531711969,0.794313478,0.130114286,0.051034661,0.202617183,0.080950107,0.037589641,0.002822765,0.032705826,0.232825845,0.266248763,0.31362143,0.078691589,0.193250301,0.382169222,0.404895311,0.102413605,0.431764877,0.194430316,0.257247037,0.477974776,0.97,0.732142857,0.087109905,0.66,0.175981524,0.25907558,0.398210291,0.690521327,0.453634085,0.402677652,0.16305866,0.339133932,0.451431007,0.407989456,PM
jrmurphy,0.019861571,0.022704508,0.082276491,0.016716371,0.224299065,0.104187039,0.074074074,0.116431925,0.121152843,0.745571245,0.043095174,0.000515836,0.010999205,0.002242152,0.6,0.000991572,0.8,0.172615185,0.441141498,0.16025641,0.094,0.202464789,0.8647,0,0,0,0,0,0,0,0,0,0,0,0,0.045311871,0.93258427,0.119179772,0.637362637,0.027005634,0.946428571,0.137343121,0.984126984,0.028792484,0.793620415,0.00660066,0.206379585,0.110075394,0.51430628,0.087982833,0.48569372,0.338514286,0.039252457,0.233969722,0.054289316,0.052692602,0.002065163,0.002025497,0.06981062,0.042230287,0.148597422,0.005420561,0.064416767,0.049403748,0.196402241,0.019931502,0.104679,0.04324523,0.052689152,0.069274356,0.96,0.303571429,0.005427408,0.199,0.140415704,1,0.064038031,0.342022117,0.080200501,0.276004119,0.127670798,0.580074314,0.194646932,0.421904005,Operations
jsprick,0.033136055,0.030717863,0.055654544,0.025741642,0.179906542,0.088007823,0.096586783,0.261971831,0.079942619,0.311168164,0.0483867,0.032291344,0.414789292,0.05754858,0.246,0.038423401,0.4952,0.149902661,0.451843044,0.153846154,0.1039,0.143485915,0.7056,0,0,0,0,0,0,0.272727273,0.107142857,0.272727273,1,0.3,1,0.057062374,0.674157303,0.088498304,0.549450549,0.038925362,0.714285714,0.094127398,0.698412698,0.026471401,0.175438596,0.043750529,0.824561404,0.095270733,0.545438186,0.070338579,0.454561814,0.130771429,0.052121055,0.24843431,0.06902303,0.026118762,0.002686138,0.005182891,0.107686595,0.030682943,0.11119535,0.013831776,0.099102719,0.02725724,0.122677676,0.153602155,0.412814339,0.226866878,0.028076572,0.065070371,0.31,0.375,0.032338308,0.715,0.02817552,0.121007737,0.081795302,0.653238547,0.06641604,0.26930999,0.155342533,0.511280217,0.351548611,0.446067237,PM
justus,0.129869261,0.128547579,0.057436327,0.13514362,0.368157543,0.437905592,0.350762527,0.146791862,0.398148148,0.300898588,0.216460338,0.081089446,0.267558972,0.076980568,0.131,0.075855231,0.3893,0.492537313,0.304003171,0.365384615,0.0751,0.488556338,0.7312,0,0,0,0,0,0,0.363636364,0.028571429,0.363636364,1,0.4,1,0.208370221,0.629213483,0.444804194,0.549450549,0.145504493,0.642857143,0.423040493,0.571428571,0.118927881,0.288357257,0.146991622,0.711642743,0.468540096,0.524023754,0.359561278,0.475976246,0.127771429,0.039291257,0.410269633,0.054397085,0.075176187,0.00468081,0.041701418,0.222552296,0.383371824,0.466515037,0.086728972,0.159635731,0.363997729,0.358006488,0.130673366,0.441035445,0.217796156,0.099179581,0.301590203,0.28,0.321428571,0.12578019,0.7144,0.146420323,0.161475898,0.449244966,0.744233807,0.389724311,0.323377961,0.161531085,0.442378948,0.321970186,0.447228844,Research
jziegler,0.018992209,0.021035058,0.079027356,0.01914927,0.340620828,0.06676149,0.055918664,0.166510172,0.069379238,0.537869063,0.032093722,0.031569174,0.702756427,0.038863976,0.1699,0.027764006,0.366,0.110966905,0.437772493,0.147435897,0.1345,0.117077465,0.7778,0.24,0.293785311,0.24,1,0.315789474,1,0.909090909,0.460714286,0.909090909,1,0.9,0.9,0.043380282,0.93258427,0.108387296,0.934065934,0.026027844,0.964285714,0.086313048,0.952380952,0.025918762,0.712599681,0.00880088,0.287400319,0.081562714,0.705776498,0.037195994,0.294223502,0.161057143,0.051668391,0.279094327,0.068956027,0.119670121,0.002135143,0.00500417,0.180220324,0.038601122,0.263330806,0.015140187,0.18802732,0.064735945,0.420230021,0.020424314,0.071923226,0.034547817,0.00556062,0.054834582,0.11,0.446428571,0.017232022,0.6603,0.005542725,0.041261654,0.054670022,0.547551343,0.05764411,0.305870237,6.55E-05,0.412759655,0.210073305,0.778474005,Research
kevin007,0.003510884,0.010016694,0.292107746,0.003531628,0.317256342,0.010400925,0.02033406,0.554303599,0.009780908,0.449037227,0.005094632,0.001238007,0.139544129,0.005979073,0.6667,0.001983143,0.6667,0.018818949,0.410424098,0.051282051,0.2759,0.014964789,0.5862,0.08,0.494350282,0.08,1,0.105263158,1,0.272727273,0.764285714,0.272727273,1,0.2,0.6667,0.007082495,0.752808989,0.014955288,0.846153846,0.004656144,0.892857143,0.013260715,0.936507937,0.004918486,0.706220096,0.001777101,0.293779904,0.011925977,0.661687961,0.007153076,0.338312039,0.193285714,0.042563373,0.149105711,0.087789291,0.019581658,0.003440211,0.001608483,0.293105582,0.004618938,0.178417993,0.003738318,0.234900228,0.004542873,0.206133884,0.0052358,0.0160292,0.007907611,0.002278943,0.003290075,0.22,0.142857143,0.004296698,0.8333,0.000923788,0.034715334,0.009787472,0.705845182,0.005012531,0.147270855,0.091994741,0.364741037,0.089394051,0.475013357,GradStudent
kgantt,0.062326546,0.078130217,0.086783356,0.060037671,0.312583445,0.14099031,0.120551924,0.169640063,0.124934794,0.267265725,0.08454136,0.009388218,0.064404983,0.018684604,0.2747,0.013386217,0.5934,0.343283582,0.651605232,0.173076923,0.051,0.345950704,0.7429,0,0,0,0,0,0,0.090909091,0.021428571,0.090909091,1,0.1,1,0.112515091,0.719101124,0.191951896,0.769230769,0.079154444,0.839285714,0.168245323,0.841269841,0.067200884,0.444019139,0.055259372,0.555980861,0.146812886,0.494871333,0.122794468,0.505128667,0.141028571,0.034971547,0.417500686,0.055615826,0.04786911,0.002926738,0.004646729,0.051491521,0.0560871,0.143290371,0.011962617,0.045801527,0.074957411,0.221763492,0.102128087,0.232076441,0.138986828,0.063810392,0.116432097,0.37,0.446428571,0.051696065,0.6103,0.141801386,0.325133902,0.154642058,0.8164297,0.182957393,0.467044284,0.171837619,0.330756326,0.3005734,0.29647872,Outreach
kkarranc,0.021633731,0.016360601,0.041400273,0.025427719,0.458611482,0.080362699,0.061002179,0.135837246,0.082420449,0.512451861,0.037803647,0.051067781,1,0.032137519,0.0869,0.062716906,0.5111,0.162881246,0.536662703,0.192307692,0.1195,0.17693662,0.8008,0.36,0.38700565,0.36,1,0.368421053,0.7778,0.727272727,0.307142857,0.727272727,1,0.8,1,0.051026157,0.966292135,0.127351218,0.912087912,0.029566513,0.964285714,0.10158655,0.920634921,0.029953026,0.732535885,0.009308623,0.267464115,0.08553804,0.525643333,0.066762041,0.474356667,0.108057143,0.069309364,0.244848163,0.055306502,0.196280398,0.002784795,0.006970094,0.220819408,0.055427252,0.337882234,0.021495327,0.234766305,0.088586031,0.480094367,0.022034426,0.081936272,0.038502582,0.012032817,0.054834582,0.2,0.321428571,0.021438263,0.7226,0.008314088,0.054354295,0.072287472,0.624486572,0.068922306,0.305355304,0.126861712,0.644066454,0.333991925,0.796241182,Research
kls,0.006754272,0.011018364,0.150613143,0.007063255,0.356809079,0.020090675,0.025417574,0.328951487,0.01982264,0.480359435,0.010164653,0.000206334,0.012589451,0.001494768,1,0.000495786,1,0.036340039,0.445699564,0.051282051,0.1429,0.036091549,0.7321,0,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0.808988764,0.02960222,0.846153846,0.008939796,0.892857143,0.025100639,0.904761905,0.007405361,0.448165869,0.006177541,0.551834131,0.020150788,0.487673205,0.018836433,0.512326795,0.167571429,0.046404553,0.478287919,0.106547772,0.059778483,0.002448561,0.001608483,0.15843545,0.013196965,0.308061663,0.004672897,0.158698272,0.021578648,0.460041286,0.007294398,0.02178167,0.011013076,0.005651778,0.015902029,0.29,0.446428571,0.006467662,0.6777,0.008314088,0.169212458,0.018875839,0.6835703,0.023809524,0.392893924,0.082499973,0.326491978,0.160180652,0.343230606,Outreach
krich,0.050356104,0.099499165,0.162876009,0.040260556,0.196428571,0.28366966,0.207697894,0.121126761,0.293688054,0.52169448,0.115232212,0,0,0,0,0,0,0.475665152,0.452041221,0.224358974,0.0477,0.495598592,0.7681,0,0,0,0,0,0,0,0,0,0,0,0,0.085955734,0.674157303,0.386062288,0.769230769,0.058527727,0.696428571,0.344778593,0.857142857,0.043161094,0.231578947,0.061775408,0.768421053,0.206716929,0.129566313,0.401287554,0.870433687,0.2428,0.025439731,0.196270381,0.034125296,0.032665251,0,0.011080662,0.15199901,0.402507423,0.833206975,0.025794393,0.122003482,0.610448609,0.963432616,0.050564061,0.285149745,0.115711196,0.030902461,0.189362091,0.22,0.303571429,0.058254184,0.8502,0.033718245,0.095615949,0.301034676,0.779936809,0.373433584,0.477342945,0.16577381,0.331391927,0.232932301,0.230236691,Operations
krooks,0.003410573,0.005676127,0.17849282,0.005807566,0.771862483,0.01689039,0.018881627,0.279499218,0.015388628,0.370218228,0.006817455,0.00113484,0.131327856,0.005231689,0.6364,0.002231036,0.8182,0.018818949,0.269916766,0.032051282,0.1724,0.014964789,0.5862,0.04,0.254237288,0.04,1,0.052631579,1,0.090909091,0.167857143,0.090909091,1,0.1,1,0.008289738,0.93258427,0.027135368,0.923076923,0.004656144,0.928571429,0.021785461,0.952380952,0.004642166,0.66953748,0.001946348,0.33046252,0.02124743,0.760482275,0.008345255,0.239517725,0.037914286,0.018313502,0.193759262,0.062204404,0.024770395,0.000842274,0.001072322,0.200767422,0.006598482,0.144553955,0.00317757,0.205169412,0.011357183,0.292833972,0.003727379,0.018544604,0.007493038,0.001367366,0.006945714,0.14,0.160714286,0.003346902,0.6667,0,0,0.013982103,0.587993681,0.013784461,0.265705458,0.085070125,0.228776082,0.556688429,0.480175311,GradStudent
ksterne,0.015715384,0.053088481,0.315166125,0.021896092,0.608144192,0.154502622,0.221496006,0.388106416,0.178403756,0.73042362,0.053973567,0.000309502,0.008348794,0.002242152,1,0.000495786,0.6667,0.019467878,0.033690052,0.064102564,0.3333,0.021126761,0.8,0.24,0.353107345,0.24,1,0.263157895,0.8333,0.272727273,0.060714286,0.272727273,1,0.3,1,0.005633803,0.04494382,0.021430774,0,0.009591656,0,0.094600995,0.158730159,0.018844985,0.553907496,0.011339595,0.446092504,0.216860864,0.911642973,0.037195994,0.088357027,0.097628571,0.003479048,0.333628932,1,0.0827631,1,0.008221137,0.35660354,0.174529858,0.635077079,0.003551402,0.053167269,0.010789324,0.011206134,0.016784285,0.165232597,0.057677581,0.012579763,0.053372327,0.29,0.017857143,0.014473089,0.6681,0.0147806,0.13251339,0.057746085,0.099368088,0.072681704,0.169412976,0.106099122,0.580162124,0.213515289,0.376481538,Research
